"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"linio","samsung","televisor samsung 55"" smart,ultra hd 4k,..."," 2999.0"," 1999.00","55"
"linio","samsung","samsung - televisor smart tv fhd 49"" 49j..."," 1599.0"," 1200.00","49"
"linio","samsung","tv led samsung 50'' 4k smart tv 50nu7090..."," 2099.0"," 2099.00","50"
"linio","samsung","smart tv samsung 40"" hd un40j5290"," 1399.0","  989.00","40"
"linio","samsung","televisor led curved 55"" samsung 4k smar..."," 2299.0"," 1779.00","55"
"linio","samsung","televisor samsung smart tv 55'' 4k uhd u..."," 2449.0"," 1599.00","55"
"linio","samsung","samsung - smart tv uhd 4k 55"" 55nu7100 +..."," 2499.0"," 1749.00","55"
"linio","samsung","tv samsung 49"" full hd wifi un49j5290 sm..."," 1699.0"," 1099.00","49"
"linio","samsung","televisor samsung 58"" uhd 4k,smart,bluet..."," 2999.0"," 1789.00","58"
"linio","samsung","televisor samsung ultra hd 4k 55"" 55ru73..."," 2999.0"," 1999.00","55"
"linio","samsung","tv led samsung smart 32"" hd digital un32...","  749.0","  709.00","32"
"linio","samsung","televisor samsung un50mu6103 uhd 4k 50""..."," 1799.0"," 1299.00","50"
"linio","samsung","samsung smart tv qled uhd 55'' qn55q7fam..."," 4999.0"," 4679.00","55"
"linio","samsung","samsung - televisor smart tv uhd 4k 50""..."," 1999.0"," 1495.00","50"
"linio","samsung","samsung smart tv led ultra hd 4k 65"" un6..."," 2499.0"," 2398.99","65"
"linio","samsung","samsung smart tv uhd 43'' 43nu7090 +sou..."," 1299.0"," 1199.00","43"
"linio","210","televisor 55' 4k uhd smart tv un55nu8500..."," 4999.0"," 4999.00","55"
"linio","samsung","televisor samsung led ultra hd 4k 65"" un..."," 3999.0"," 2980.00","65"
"linio","samsung","samsung smart tv uhd 43'' 43nu7090-negro"," 1549.0"," 1049.00","43"
"linio","samsung","televisor samsung 49"" uhd 4k curvo smart..."," 2499.0"," 1699.00","49"
"linio","samsung","smart tv samsung 40"" uhd 4k un40mu6103gx..."," 2199.0"," 1199.00","40"
"linio","samsung","samsung smart tv uhd 43'' 43nu7090-negro"," 1499.0"," 1039.00","43"
"linio","196","55"" nu7090 uhd plano smart tv 4k 2018"," 1999.0"," 1749.00","55"
"linio","samsung","nuevo. samsung smart tv uhd 50"" 50ru7100"," 1999.0"," 1398.90","50"
"linio","samsung","tv samsung 43"" uhd 4k smart 43nu7100"," 1999.0"," 1199.00","43"
"linio","samsung","tv led samsung smart 32"" digital hd un32...","  999.0","  699.00","32"
"linio","samsung","televisor led uhd 4k smart 55""samsung un..."," 2500.0"," 1640.00","55"
"linio","samsung","televisor samsung 50"" smart fhd 4k 50nu7..."," 1999.0"," 1497.00","50"
